zip_code,population_2021,,,,
95661,"32,880",,,,
92203,"32,829",,,,
94941,"32,711",,,,
95118,"32,703",,,,
91604,"32,680",,,,
90803,"32,631",,,,
90606,"32,583",,,,
91206,"32,570",,,,
92220,"32,523",,,,
91006,"32,499",,,,
94103,"32,430",,,,
92373,"32,340",,,,
93703,"32,329",,,,
93940,"32,273",,,,
95070,"32,189",,,,
94610,"32,144",,,,
93618,"32,044",,,,
91214,"32,009",,,,
95358,"31,938",,,,
91423,"31,901",,,,
93420,"31,864",,,,
93004,"31,705",,,,
90712,"31,701",,,,
91792,"31,649",,,,
92124,"31,593",,,,
93001,"31,588",,,,
95131,"31,566",,,,
95632,"31,509",,,,
94070,"31,477",,,,
92116,"31,470",,,,
96080,"31,469",,,,
91355,"31,469",,,,
94602,"31,451",,,,
93101,"31,439",,,,
92679,"31,406",,,,
95961,"31,402",,,,
92260,"31,286",,,,
93561,"31,281",,,,
95134,"31,172",,,,
94903,"31,150",,,,
92881,"31,061",,,,
90008,"31,046",,,,
94589,"31,033",,,,
92673,"30,972",,,,
90601,"30,955",,,,
92405,"30,930",,,,
91607,"30,921",,,,
95824,"30,783",,,,
95829,"30,594",,,,
90680,"30,500",,,,
92110,"30,318",,,,
94580,"30,262",,,,
95219,"30,242",,,,
92653,"30,183",,,,
95204,"30,135",,,,
92782,"30,123",,,,
93662,"30,123",,,,
90061,"29,992",,,,
92604,"29,983",,,,
91356,"29,968",,,,
91303,"29,965",,,,
92081,"29,944",,,,
90028,"29,887",,,,
95682,"29,836",,,,
95472,"29,753",,,,
92107,"29,753",,,,
96150,"29,727",,,,
94132,"29,707",,,,
93654,"29,697",,,,
92173,"29,634",,,,
94585,"29,560",,,,
91746,"29,525",,,,
94131,"29,437",,,,
95363,"29,364",,,,
91324,"29,328",,,,
91724,"29,309",,,,
92614,"29,307",,,,
93901,"29,295",,,,
90302,"29,278",,,,
91803,"29,223",,,,
95966,"29,203",,,,
93704,"29,184",,,,
92120,"29,172",,,,
90713,"29,113",,,,
90041,"28,956",,,,
95133,"28,902",,,,
90039,"28,839",,,,
95117,"28,832",,,,
91384,"28,693",,,,
93401,"28,654",,,,
95492,"28,635",,,,
94107,"28,607",,,,
92316,"28,593",,,,
95212,"28,561",,,,
94549,"28,545",,,,
95603,"28,479",,,,
90017,"28,433",,,,
95677,"28,412",,,,
94306,"28,394",,,,
93280,"28,337",,,,
95330,"28,325",,,,
91364,"28,264",,,,
91731,"28,244",,,,
94002,"28,201",,,,
94518,"28,201",,,,
91316,"28,182",,,,
90746,"28,067",,,,
90710,"27,998",,,,
90038,"27,995",,,,
94559,"27,913",,,,
95370,"27,896",,,,
92008,"27,742",,,,
91945,"27,685",,,,
91504,"27,592",,,,
92227,"27,530",,,,
95242,"27,448",,,,
92602,"27,425",,,,
91740,"27,379",,,,
94506,"27,375",,,,
90405,"27,367",,,,
94510,"27,327",,,,
92868,"27,233",,,,
91755,"27,197",,,,
95945,"27,188",,,,
94402,"27,188",,,,
95032,"27,149",,,,
94803,"27,133",,,,
94607,"27,022",,,,
91010,"27,008",,,,
92629,"26,929",,,,
92835,"26,917",,,,
91103,"26,909",,,,
95215,"26,898",,,,
92411,"26,895",,,,
94062,"26,847",,,,
92532,"26,840",,,,
91030,"26,837",,,,
92251,"26,740",,,,
91042,"26,686",,,,
92277,"26,666",,,,
93725,"26,620",,,,
90240,"26,590",,,,
94619,"26,514",,,,
95618,"26,478",,,,
94530,"26,461",,,,
91741,"26,460",,,,
94598,"26,441",,,,
90035,"26,411",,,,
93105,"26,382",,,,
91932,"26,375",,,,
93960,"26,357",,,,
